iri,label,type,source
http://id.nlm.nih.gov/mesh/D052159,Frasier Syndrome,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D052177,"Kidney Diseases, Cystic",http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D053018,Pyonephrosis,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D053040,Nephrolithiasis,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D053098,Familial Hypophosphatemic Rickets,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D053099,Azotemia,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D053579,Gitelman Syndrome,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D053653,Pyelocystitis,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D056929,Liddle Syndrome,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D057973,Dent Disease,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D058186,Acute Kidney Injury,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D059228,Renal Nutcracker Syndrome,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D059347,Cardio-Renal Syndrome,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D065766,Atypical Hemolytic Uremic Syndrome,http://id.nlm.nih.gov/mesh/D007674,https://purl.humanatlas.io/graph/hra-lit
