subject,predicate,object,pub_count
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D011704,2758
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,2583
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009404,2546
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,2462
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D012078,2391
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009393,1986
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,1957
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D008181,1874
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007690,1764
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,1762
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D052177,1762
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009395,1719
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009404,1629
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D014511,1551
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006869,1551
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005922,1535
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006978,1463
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005923,1375
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005923,1317
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D014398,1289
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007669,1261
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,1223
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,1208
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009396,1145
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D016891,1138
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005922,944
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007676,942
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,889
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009393,875
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,850
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007683,787
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,773
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D015433,763
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D001002,720
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,694
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,675
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005923,664
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009395,645
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005921,643
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005921,636
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D008181,636
http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,630
http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,610
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009401,603
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D015433,598
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007676,574
http://purl.obolibrary.org/obo/CL_0000650,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,573
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005922,557
http://purl.obolibrary.org/obo/UBERON_0006517,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007669,555
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009400,540
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D015432,532
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D053040,478
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D019867,477
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D015432,476
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009397,472
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009402,469
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006463,459
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,449
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009402,442
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006977,420
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,416
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D000141,397
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003919,395
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009404,391
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,369
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009401,368
http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D002292,361
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009394,359
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D019867,359
http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,343
http://purl.obolibrary.org/obo/UBERON_0000362,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,337
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009395,337
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007669,336
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051436,335
http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,332
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009394,312
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007673,295
http://purl.obolibrary.org/obo/UBERON_0006517,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,288
http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,286
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,284
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007681,275
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D012080,274
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D059347,272
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009393,266
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D000141,265
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009404,264
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D011704,259
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005923,243
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D015432,239
http://purl.obolibrary.org/obo/UBERON_0001232,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,237
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D011704,236
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005198,225
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009400,223
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051437,222
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D052177,221
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005921,219
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007683,217
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006530,216
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006463,210
http://purl.obolibrary.org/obo/UBERON_0002303,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006977,204
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,203
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051436,201
http://purl.obolibrary.org/obo/UBERON_0002303,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,195
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051436,195
http://purl.obolibrary.org/obo/UBERON_0004135,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D000141,195
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006959,194
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D021782,191
http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007676,190
http://purl.obolibrary.org/obo/UBERON_0002320,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009404,187
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,185
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D015433,184
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051437,184
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D017044,181
http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,179
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D016263,176
http://purl.obolibrary.org/obo/UBERON_0000362,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,175
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051436,175
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003919,172
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D011704,171
http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,164
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D001477,164
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007690,164
http://purl.obolibrary.org/obo/UBERON_0000362,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007669,160
http://purl.obolibrary.org/obo/UBERON_0000362,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,155
http://purl.obolibrary.org/obo/UBERON_0002303,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,154
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005923,154
http://purl.obolibrary.org/obo/UBERON_0001224,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D002292,152
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007691,147
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006977,146
http://purl.obolibrary.org/obo/UBERON_0005777,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,145
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005922,145
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D000608,145
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005198,144
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D014511,142
http://purl.obolibrary.org/obo/UBERON_0004134,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D000141,140
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007015,139
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D011705,139
http://purl.obolibrary.org/obo/CL_0000650,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005921,138
http://purl.obolibrary.org/obo/CL_0000653,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D008181,138
http://purl.obolibrary.org/obo/UBERON_0005777,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,137
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D014511,136
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005198,136
http://purl.obolibrary.org/obo/CL_0000650,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005922,135
http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D009401,135
